"Woonplaatsen";"Woonplaatscode (Code)";"Gemeentenaam";"Gemeente/Code  (Code)"
"Mariënheem";"WP1493    ";"Raalte                             ";"GM0177    "
"Mariënvelde";"WP2230    ";"Oost Gelre                         ";"GM1586    "
"Marijenkampen";"WP2705    ";"Steenwijkerland                    ";"GM1708    "
"Markelo";"WP1444    ";"Hof van Twente                     ";"GM1735    "
"Marken";"WP1943    ";"Waterland                          ";"GM0852    "
"Markenbinnen";"WP3556    ";"Alkmaar                            ";"GM0361    "
"Marknesse";"WP1274    ";"Noordoostpolder                    ";"GM0171    "
"Marle";"WP1383    ";"Olst-Wijhe                         ";"GM1773    "
"Marrum";"WP3208    ";"Ferwerderadiel                     ";"GM1722    "
"Marsum";"WP2730    ";"Waadhoeke                          ";"GM1949    "
"Marum";"WP2263    ";"Marum                              ";"GM0025    "
"Marwijksoord";"WP1170    ";"Aa en Hunze                        ";"GM1680    "
"Mastenbroek";"WP2200    ";"Zwartewaterland                    ";"GM1896    "
"Mastenbroek";"WP2901    ";"Kampen                             ";"GM0166    "
"Matsloot";"WP1641    ";"Noordenveld                        ";"GM1699    "
"Maurik";"WP3380    ";"Buren                              ";"GM0214    "
"Mechelen";"WP1231    ";"Gulpen-Wittem                      ";"GM1729    "
"Medemblik";"WP3151    ";"Medemblik                          ";"GM0420    "
"Meeden";"WP2277    ";"Midden-Groningen                   ";"GM1952    "
"Meedhuizen";"WP3240    ";"Delfzijl                           ";"GM0010    "
"Meerkerk";"WP2108    ";"Zederik                            ";"GM0707    "
"Meerlo";"WP1858    ";"Horst aan de Maas                  ";"GM1507    "
"De Meern";"WP3297    ";"Utrecht                            ";"GM0344    "
"Meerssen";"WP1463    ";"Meerssen                           ";"GM0938    "
"Meerstad";"WP3488    ";"Groningen                          ";"GM0014    "
"Meeuwen";"WP1955    ";"Aalburg                            ";"GM0738    "
"Megchelen";"WP1584    ";"Oude IJsselstreek                  ";"GM1509    "
"Megen";"WP3251    ";"Oss                                ";"GM0828    "
"Meijel";"WP2140    ";"Peel en Maas                       ";"GM1894    "
"Melderslo";"WP1034    ";"Horst aan de Maas                  ";"GM1507    "
"Melick";"WP2591    ";"Roerdalen                          ";"GM1669    "
"Meliskerke";"WP2780    ";"Veere                              ";"GM0717    "
"Melissant";"WP2379    ";"Goeree-Overflakkee                 ";"GM1924    "
"Menaam";"WP2731    ";"Waadhoeke                          ";"GM1949    "
"Mensingeweer";"WP3421    ";"De Marne                           ";"GM1663    "
"Meppel";"WP1082    ";"Meppel                             ";"GM0119    "
"Meppen";"WP2157    ";"Coevorden                          ";"GM0109    "
"Merkelbeek";"WP2847    ";"Onderbanken                        ";"GM0881    "
"Merselo";"WP2331    ";"Venray                             ";"GM0984    "
"Meteren";"WP3530    ";"Geldermalsen                       ";"GM0236    "
"Meterik";"WP1035    ";"Horst aan de Maas                  ";"GM1507    "
"Metslawier";"WP3402    ";"Dongeradeel                        ";"GM0058    "
"Mheer";"WP1695    ";"Eijsden-Margraten                  ";"GM1903    "
"Middelaar";"WP2801    ";"Mook en Middelaar                  ";"GM0944    "
"Middelburg";"WP1007    ";"Middelburg                         ";"GM0687    "
"Middelharnis";"WP3143    ";"Goeree-Overflakkee                 ";"GM1924    "
"Middelie";"WP1840    ";"Edam-Volendam                      ";"GM0385    "
"Middelstum";"WP3450    ";"Loppersum                          ";"GM0024    "
"Middenbeemster";"WP2170    ";"Beemster                           ";"GM0370    "
"Middenmeer";"WP2434    ";"Hollands Kroon                     ";"GM1911    "
"Midlaren";"WP2926    ";"Tynaarlo                           ";"GM1730    "
"Midlum";"WP2892    ";"Harlingen                          ";"GM0072    "
"Midsland";"WP2619    ";"Terschelling                       ";"GM0093    "
"Midwolda";"WP1897    ";"Oldambt                            ";"GM1895    "
"Midwolde";"WP2343    ";"Leek                               ";"GM0022    "
"Midwoud";"WP3152    ";"Medemblik                          ";"GM0420    "
"Miedum";"WP1199    ";"Leeuwarden                         ";"GM0080    "
"Mierlo";"WP1127    ";"Geldrop-Mierlo                     ";"GM1771    "
"Mijdrecht";"WP3549    ";"De Ronde Venen                     ";"GM0736    "
"Mijnsheerenland";"WP2383    ";"Binnenmaas                         ";"GM0585    "
"Mildam";"WP2191    ";"Heerenveen                         ";"GM0074    "
"Milheeze";"WP2091    ";"Gemert-Bakel                       ";"GM1652    "
"Mill";"WP1976    ";"Mill en Sint Hubert                ";"GM0815    "
"Millingen aan de Rijn";"WP2289    ";"Berg en Dal                        ";"GM1945    "
"Milsbeek";"WP2479    ";"Gennep                             ";"GM0907    "
"Minnertsga";"WP3333    ";"Waadhoeke                          ";"GM1949    "
"Mirns";"WP1678    ";"De Fryske Marren                   ";"GM1940    "
"Moddergat";"WP3403    ";"Dongeradeel                        ";"GM0058    "
"De Moer";"WP3054    ";"Loon op Zand                       ";"GM0809    "
"Moerdijk";"WP1322    ";"Moerdijk                           ";"GM1709    "
"Moergestel";"WP2647    ";"Oisterwijk                         ";"GM0824    "
"Moerkapelle";"WP1212    ";"Zuidplas                           ";"GM1892    "
"Moerstraten";"WP1593    ";"Roosendaal                         ";"GM1674    "
"Molenaarsgraaf";"WP1983    ";"Molenwaard                         ";"GM1927    "
"Molenhoek";"WP2802    ";"Mook en Middelaar                  ";"GM0944    "
"Molenschot";"WP2069    ";"Gilze en Rijen                     ";"GM0784    "
"Molkwerum";"WP1967    ";"Súdwest-Fryslân                    ";"GM1900    "
"Monnickendam";"WP1944    ";"Waterland                          ";"GM0852    "
"Monster";"WP2659    ";"Westland                           ";"GM1783    "
"Montfoort";"WP1964    ";"Montfoort                          ";"GM0335    "
"Montfort";"WP2592    ";"Roerdalen                          ";"GM1669    "
"Mook";"WP2803    ";"Mook en Middelaar                  ";"GM0944    "
"Mookhoek";"WP2796    ";"Strijen                            ";"GM0617    "
"Moordrecht";"WP1244    ";"Zuidplas                           ";"GM1892    "
"Moorveld";"WP1464    ";"Meerssen                           ";"GM0938    "
"Morra";"WP3404    ";"Dongeradeel                        ";"GM0058    "
"De Mortel";"WP2093    ";"Gemert-Bakel                       ";"GM1652    "
"Muiden";"WP3632    ";"Gooise Meren                       ";"GM1942    "
"Muiderberg";"WP1519    ";"Gooise Meren                       ";"GM1942    "
"Mûnein";"WP2446    ";"Tytsjerksteradiel                  ";"GM0737    "
"Munnekeburen";"WP1725    ";"Weststellingwerf                   ";"GM0098    "
"Munnekezijl";"WP3312    ";"Kollumerland en Nieuwkruisland     ";"GM0079    "
"Munstergeleen";"WP2816    ";"Sittard-Geleen                     ";"GM1883    "
"Muntendam";"WP2278    ";"Midden-Groningen                   ";"GM1952    "
"Mussel";"WP3077    ";"Stadskanaal                        ";"GM0037    "
"Musselkanaal";"WP3075    ";"Stadskanaal                        ";"GM0037    "
"Naaldwijk";"WP2660    ";"Westland                           ";"GM1783    "
"Naarden";"WP1052    ";"Gooise Meren                       ";"GM1942    "
"Nagele";"WP1278    ";"Noordoostpolder                    ";"GM0171    "
"Nederasselt";"WP3497    ";"Heumen                             ";"GM0252    "
"Nederhemert";"WP2633    ";"Zaltbommel                         ";"GM0297    "
"Nederhorst den Berg";"WP3003    ";"Wijdemeren                         ";"GM1696    "
"Nederland";"WP2706    ";"Steenwijkerland                    ";"GM1708    "
"Nederweert";"WP2037    ";"Nederweert                         ";"GM0946    "
"Nederweert-Eind";"WP2039    ";"Nederweert                         ";"GM0946    "
"Neede";"WP1656    ";"Berkelland                         ";"GM1859    "
"Neer";"WP2952    ";"Leudal                             ";"GM1640    "
"Neerijnen";"WP3363    ";"Neerijnen                          ";"GM0304    "
"Neeritter";"WP2953    ";"Leudal                             ";"GM1640    "
"Neerkant";"WP1777    ";"Deurne                             ";"GM0762    "
"Neerlangel";"WP3261    ";"Oss                                ";"GM0828    "
"Neerloon";"WP3262    ";"Oss                                ";"GM0828    "
"Nes";"WP3603    ";"Heerenveen                         ";"GM0074    "
"Nes";"WP2588    ";"Ameland                            ";"GM0060    "
"Nes";"WP3405    ";"Dongeradeel                        ";"GM0058    "
"Netersel";"WP1068    ";"Bladel                             ";"GM1728    "
"Netterden";"WP1583    ";"Oude IJsselstreek                  ";"GM1509    "
"Niawier";"WP3406    ";"Dongeradeel                        ";"GM0058    "
"Nibbixwoud";"WP3153    ";"Medemblik                          ";"GM0420    "
"Niebert";"WP2264    ";"Marum                              ";"GM0025    "
"Niehove";"WP2121    ";"Zuidhorn                           ";"GM0056    "
"Niekerk";"WP2178    ";"Grootegast                         ";"GM0015    "
"Niekerk";"WP3422    ";"De Marne                           ";"GM1663    "
"Nietap";"WP1642    ";"Noordenveld                        ";"GM1699    "
"Nieuw Annerveen";"WP1171    ";"Aa en Hunze                        ";"GM1680    "
"Nieuw Beerta";"WP1421    ";"Oldambt                            ";"GM1895    "
"Nieuw- en Sint Joosland";"WP1009    ";"Middelburg                         ";"GM0687    "
"Nieuw Heeten";"WP1499    ";"Raalte                             ";"GM0177    "
"Nieuw Namen";"WP3093    ";"Hulst                              ";"GM0677    "
"Nieuw Scheemda";"WP1894    ";"Oldambt                            ";"GM1895    "
"Nieuwaal";"WP2634    ";"Zaltbommel                         ";"GM0297    "
"Nieuw-Amsterdam";"WP1993    ";"Emmen                              ";"GM0114    "
"Nieuw-Balinge";"WP3018    ";"Midden-Drenthe                     ";"GM1731    "
"Nieuw-Beijerland";"WP2887    ";"Korendijk                          ";"GM0588    "
"Nieuw-Buinen";"WP1797    ";"Borger-Odoorn                      ";"GM1681    "
"Nieuw-Dordrecht";"WP1994    ";"Emmen                              ";"GM0114    "
"Nieuwdorp";"WP1259    ";"Borsele                            ";"GM0654    "
"Nieuwe Niedorp";"WP2518    ";"Hollands Kroon                     ";"GM1911    "
"Nieuwe Pekela";"WP1398    ";"Pekela                             ";"GM0765    "
"Nieuwe Wetering";"WP3037    ";"Kaag en Braassem                   ";"GM1884    "
"Nieuwebrug";"WP2496    ";"Heerenveen                         ";"GM0074    "
"Nieuwediep";"WP1172    ";"Aa en Hunze                        ";"GM1680    "
"Nieuwegein";"WP1108    ";"Nieuwegein                         ";"GM0356    "
"Nieuwehorne";"WP2194    ";"Heerenveen                         ";"GM0074    "
"Nieuwendijk";"WP2216    ";"Werkendam                          ";"GM0870    "
"Nieuwer Ter Aa";"WP1394    ";"Stichtse Vecht                     ";"GM1904    "
"Nieuwerbrug aan den Rijn";"WP2666    ";"Bodegraven-Reeuwijk                ";"GM1901    "
"Nieuwerkerk";"WP2680    ";"Schouwen-Duiveland                 ";"GM1676    "
"Nieuwerkerk aan den IJssel";"WP1016    ";"Zuidplas                           ";"GM1892    "
"Nieuweroord";"WP1815    ";"Hoogeveen                          ";"GM0118    "
"Nieuweroord";"WP3017    ";"Midden-Drenthe                     ";"GM1731    "
"Nieuwersluis";"WP2221    ";"Stichtse Vecht                     ";"GM1904    "
"Nieuweschoot";"WP2187    ";"Heerenveen                         ";"GM0074    "
"Nieuwe-Tonge";"WP3144    ";"Goeree-Overflakkee                 ";"GM1924    "
"Nieuwkoop";"WP2667    ";"Nieuwkoop                          ";"GM0569    "
"Nieuwkuijk";"WP3502    ";"Heusden                            ";"GM0797    "
"Nieuwland";"WP2111    ";"Zederik                            ";"GM0707    "
"Nieuwlande";"WP1816    ";"Hoogeveen                          ";"GM0118    "
"Nieuwlande Coevorden";"WP2158    ";"Coevorden                          ";"GM0109    "
"Nieuw-Lekkerland";"WP2795    ";"Molenwaard                         ";"GM1927    "
"Nieuwleusen";"WP1239    ";"Dalfsen                            ";"GM0148    "
"Nieuwolda";"WP1896    ";"Oldambt                            ";"GM1895    "
"Nieuwpoort";"WP1807    ";"Molenwaard                         ";"GM1927    "
"Nieuw-Roden";"WP1643    ";"Noordenveld                        ";"GM1699    "
"Nieuw-Schoonebeek";"WP1995    ";"Emmen                              ";"GM0114    "
"Nieuwstadt";"WP2047    ";"Echt-Susteren                      ";"GM1711    "
"Nieuwveen";"WP2670    ";"Nieuwkoop                          ";"GM0569    "
"Nieuw-Vennep";"WP1602    ";"Haarlemmermeer                     ";"GM0394    "
"Nieuwvliet";"WP2969    ";"Sluis                              ";"GM1714    "
"Nieuw-Vossemeer";"WP1404    ";"Steenbergen                        ";"GM0851    "
"Nieuw-Weerdinge";"WP1996    ";"Emmen                              ";"GM0114    "
"Niezijl";"WP2122    ";"Zuidhorn                           ";"GM0056    "
"Niftrik";"WP2569    ";"Wijchen                            ";"GM0296    "
"Nigtevecht";"WP2222    ";"Stichtse Vecht                     ";"GM1904    "
"Nij Altoenae";"WP3330    ";"Waadhoeke                          ";"GM1949    "
"Nij Beets";"WP3352    ";"Opsterland                         ";"GM0086    "
"Nijbroek";"WP2607    ";"Voorst                             ";"GM0285    "
"Nijeberkoop";"WP1761    ";"Ooststellingwerf                   ";"GM0085    "
"Nijega";"WP3284    ";"Smallingerland                     ";"GM0090    "
"Nijehaske";"WP3521    ";"De Fryske Marren                   ";"GM1940    "
"Nijeholtpade";"WP1726    ";"Weststellingwerf                   ";"GM0098    "
"Nijeholtwolde";"WP1727    ";"Weststellingwerf                   ";"GM0098    "
"Nijelamer";"WP1728    ";"Weststellingwerf                   ";"GM0098    "
"Nijemirdum";"WP1679    ";"De Fryske Marren                   ";"GM1940    "
"Nijensleek";"WP3116    ";"Westerveld                         ";"GM1701    "
"Nijetrijne";"WP1729    ";"Weststellingwerf                   ";"GM0098    "
"Nijeveen";"WP1083    ";"Meppel                             ";"GM0119    "
"Nijhuizum";"WP1972    ";"Súdwest-Fryslân                    ";"GM1900    "
"Nijkerk";"WP3606    ";"Nijkerk                            ";"GM0267    "
"Nijkerkerveen";"WP3607    ";"Nijkerk                            ";"GM0267    "
"Nijland";"WP2414    ";"Súdwest-Fryslân                    ";"GM1900    "
"Nijlande";"WP1173    ";"Aa en Hunze                        ";"GM1680    "
"Nijmegen";"WP3030    ";"Nijmegen                           ";"GM0268    "
"Nijverdal";"WP3584    ";"Hellendoorn                        ";"GM0163    "
"Nispen";"WP1591    ";"Roosendaal                         ";"GM1674    "
"Nisse";"WP1260    ";"Borsele                            ";"GM0654    "
"Nistelrode";"WP3062    ";"Bernheze                           ";"GM1721    "
"Noardburgum";"WP2450    ";"Tytsjerksteradiel                  ";"GM0737    "
"Nooitgedacht";"WP1174    ";"Aa en Hunze                        ";"GM1680    "
"Noorbeek";"WP1696    ";"Eijsden-Margraten                  ";"GM1903    "
"Noordbeemster";"WP2171    ";"Beemster                           ";"GM0370    "
"Noordbroek";"WP2279    ";"Midden-Groningen                   ";"GM1952    "
"Noordeinde";"WP1905    ";"Alkmaar                            ";"GM0361    "
"Noordeinde Gld";"WP3070    ";"Oldebroek                          ";"GM0269    "
"Noordeloos";"WP1436    ";"Giessenlanden                      ";"GM0689    "
"Noorden";"WP2668    ";"Nieuwkoop                          ";"GM0569    "
"Noordgouwe";"WP2681    ";"Schouwen-Duiveland                 ";"GM1676    "
"Noordhoek";"WP1325    ";"Moerdijk                           ";"GM1709    "
"Noordhorn";"WP2123    ";"Zuidhorn                           ";"GM0056    "
"Noordlaren";"WP1268    ";"Haren                              ";"GM0017    "
"Noord-Scharwoude";"WP1118    ";"Langedijk                          ";"GM0416    "
"Noordscheschut";"WP1817    ";"Hoogeveen                          ";"GM0118    "
"Noord-Sleen";"WP2159    ";"Coevorden                          ";"GM0109    "
"Noordwelle";"WP2682    ";"Schouwen-Duiveland                 ";"GM1676    "
"Noordwijk";"WP2265    ";"Marum                              ";"GM0025    "
"Noordwijk";"WP2061    ";"Noordwijk                          ";"GM0575    "
"Noordwijkerhout";"WP1927    ";"Noordwijkerhout                    ";"GM0576    "
"Noordwolde";"WP2830    ";"Bedum                              ";"GM0005    "
"Noordwolde";"WP1730    ";"Weststellingwerf                   ";"GM0098    "
"Nootdorp";"WP1142    ";"Pijnacker-Nootdorp                 ";"GM1926    "
"Norg";"WP1644    ";"Noordenveld                        ";"GM1699    "
"Notter";"WP1090    ";"Wierden                            ";"GM0189    "
"Nuenen";"WP2136    ";"Nuenen, Gerwen en Nederwetten      ";"GM0820    "
"Nuis";"WP2266    ";"Marum                              ";"GM0025    "
"Nuland";"WP3611    ";"'s-Hertogenbosch                   ";"GM0796    "
"Numansdorp";"WP2372    ";"Cromstrijen                        ";"GM0611    "
"Nunhem";"WP2954    ";"Leudal                             ";"GM1640    "
"Nunspeet";"WP2982    ";"Nunspeet                           ";"GM0302    "
"Nuth";"WP2358    ";"Nuth                               ";"GM0951    "
"Nutter";"WP1411    ";"Dinkelland                         ";"GM1774    "
"Obbicht";"WP2817    ";"Sittard-Geleen                     ";"GM1883    "
"Obdam";"WP1187    ";"Koggenland                         ";"GM1598    "
"Ochten";"WP1097    ";"Neder-Betuwe                       ";"GM1740    "
"Odijk";"WP2604    ";"Bunnik                             ";"GM0312    "
"Odiliapeel";"WP1849    ";"Uden                               ";"GM0856    "
"Odoorn";"WP1798    ";"Borger-Odoorn                      ";"GM1681    "
"Odoornerveen";"WP1799    ";"Borger-Odoorn                      ";"GM1681    "
"Oeffelt";"WP1219    ";"Boxmeer                            ";"GM0756    "
"Oegstgeest";"WP2744    ";"Oegstgeest                         ";"GM0579    "
"Oene";"WP1347    ";"Epe                                ";"GM0232    "
"Oentsjerk";"WP2443    ";"Tytsjerksteradiel                  ";"GM0737    "
"Den Oever";"WP1489    ";"Hollands Kroon                     ";"GM1911    "
"Offingawier";"WP3506    ";"Súdwest-Fryslân                    ";"GM1900    "
"Ohé en Laak";"WP1923    ";"Maasgouw                           ";"GM1641    "
"Oijen";"WP3470    ";"Oss                                ";"GM0828    "
"Oirlo";"WP3604    ";"Venray                             ";"GM0984    "
"Oirsbeek";"WP2101    ";"Schinnen                           ";"GM0962    "
"Oirschot";"WP1207    ";"Oirschot                           ";"GM0823    "
"Oisterwijk";"WP2646    ";"Oisterwijk                         ";"GM0824    "
"Okkenbroek";"WP2859    ";"Deventer                           ";"GM0150    "
"Olburgen";"WP1529    ";"Bronckhorst                        ";"GM1876    "
"Oldeberkoop";"WP1762    ";"Ooststellingwerf                   ";"GM0085    "
"Oldebroek";"WP3071    ";"Oldebroek                          ";"GM0269    "
"Oldeholtpade";"WP1731    ";"Weststellingwerf                   ";"GM0098    "
"Oldeholtwolde";"WP1732    ";"Weststellingwerf                   ";"GM0098    "
"Oldehove";"WP2124    ";"Zuidhorn                           ";"GM0056    "
"Oldekerk";"WP2179    ";"Grootegast                         ";"GM0015    "
"Oldelamer";"WP1733    ";"Weststellingwerf                   ";"GM0098    "
"Oldemarkt";"WP2707    ";"Steenwijkerland                    ";"GM1708    "
"Oldenzaal";"WP1668    ";"Oldenzaal                          ";"GM0173    "
"Oldenzijl";"WP3476    ";"Eemsmond                           ";"GM1651    "
"Oldeouwer";"WP2498    ";"De Fryske Marren                   ";"GM1940    "
"Oldetrijne";"WP1734    ";"Weststellingwerf                   ";"GM0098    "
"Olst";"WP1379    ";"Olst-Wijhe                         ";"GM1773    "
"Olterterp";"WP3353    ";"Opsterland                         ";"GM0086    "
"Ommel";"WP2930    ";"Asten                              ";"GM0743    "
"Ommen";"WP3629    ";"Ommen                              ";"GM0175    "
"Ommeren";"WP3381    ";"Buren                              ";"GM0214    "
"Onderdendam";"WP2831    ";"Bedum                              ";"GM0005    "
"Onna";"WP2708    ";"Steenwijkerland                    ";"GM1708    "
"Onnen";"WP1269    ";"Haren                              ";"GM0017    "
"Onstwedde";"WP3076    ";"Stadskanaal                        ";"GM0037    "
"Ooij";"WP2877    ";"Berg en Dal                        ";"GM1945    "
"Ooltgensplaat";"WP2133    ";"Goeree-Overflakkee                 ";"GM1924    "
"Oost West en Middelbeers";"WP1208    ";"Oirschot                           ";"GM0823    "
"Oostburg";"WP2960    ";"Sluis                              ";"GM1714    "
"Oostdijk";"WP3464    ";"Reimerswaal                        ";"GM0703    "
"Oosteind";"WP2957    ";"Oosterhout                         ";"GM0826    "
"Oosterbeek";"WP2990    ";"Renkum                             ";"GM0274    "
"Oosterbierum";"WP1375    ";"Waadhoeke                          ";"GM1949    "
"Oosterblokker";"WP3619    ";"Drechterland                       ";"GM0498    "
"Oosterend";"WP2614    ";"Terschelling                       ";"GM0093    "
"Oosterend";"WP2742    ";"Texel                              ";"GM0448    "
"Oosterhesselen";"WP2160    ";"Coevorden                          ";"GM0109    "
"Oosterhout";"WP1869    ";"Overbetuwe                         ";"GM1734    "
"Oosterhout";"WP3596    ";"Oosterhout                         ";"GM0826    "
"Oosterland";"WP2683    ";"Schouwen-Duiveland                 ";"GM1676    "
"Oosterleek";"WP1510    ";"Drechterland                       ";"GM0498    "
"Oosternieland";"WP3477    ";"Eemsmond                           ";"GM1651    "
"Oosternijkerk";"WP3407    ";"Dongeradeel                        ";"GM0058    "
"Oosterstreek";"WP1735    ";"Weststellingwerf                   ";"GM0098    "
"Oosterwijk";"WP2274    ";"Leerdam                            ";"GM0545    "
"Oosterwijtwerd";"WP3451    ";"Loppersum                          ";"GM0024    "
"Oosterwolde";"WP1763    ";"Ooststellingwerf                   ";"GM0085    "
"Oosterwolde Gld";"WP3072    ";"Oldebroek                          ";"GM0269    "
"Oosterzee";"WP2246    ";"De Fryske Marren                   ";"GM1940    "
"Oost-Graftdijk";"WP3554    ";"Alkmaar                            ";"GM0361    "
"Oosthem";"WP2415    ";"Súdwest-Fryslân                    ";"GM1900    "
"Oosthuizen";"WP1841    ";"Edam-Volendam                      ";"GM0385    "
"Oostkapelle";"WP2781    ";"Veere                              ";"GM0717    "
"Oostknollendam";"WP2285    ";"Wormerland                         ";"GM0880    "
"Oostrum";"WP3605    ";"Venray                             ";"GM0984    "
"Oostrum";"WP3408    ";"Dongeradeel                        ";"GM0058    "
"Oost-Souburg";"WP1076    ";"Vlissingen                         ";"GM0718    "
"Oostvoorne";"WP1209    ";"Westvoorne                         ";"GM0614    "
"Oostwold";"WP1898    ";"Oldambt                            ";"GM1895    "
"Oostwold";"WP2344    ";"Leek                               ";"GM0022    "
"Oostwoud";"WP3567    ";"Medemblik                          ";"GM0420    "
"Oostzaan";"WP2113    ";"Oostzaan                           ";"GM0431    "
"Ootmarsum";"WP1412    ";"Dinkelland                         ";"GM1774    "
"Opeinde";"WP3285    ";"Smallingerland                     ";"GM0090    "
"Opende";"WP2180    ";"Grootegast                         ";"GM0015    "
"Ophemert";"WP3364    ";"Neerijnen                          ";"GM0304    "
"Opheusden";"WP1098    ";"Neder-Betuwe                       ";"GM1740    "
"Opijnen";"WP3365    ";"Neerijnen                          ";"GM0304    "
"Oploo";"WP2082    ";"Sint Anthonis                      ";"GM1702    "
"Opmeer";"WP2791    ";"Opmeer                             ";"GM0432    "
"Oppenhuizen";"WP2416    ";"Súdwest-Fryslân                    ";"GM1900    "
"Opperdoes";"WP3155    ";"Medemblik                          ";"GM0420    "
"Oranje";"WP3019    ";"Midden-Drenthe                     ";"GM1731    "
"Oranjewoud";"WP2189    ";"Heerenveen                         ";"GM0074    "
"Orvelte";"WP3020    ";"Midden-Drenthe                     ";"GM1731    "
"Ospel";"WP2038    ";"Nederweert                         ";"GM0946    "
"Oss";"WP3249    ";"Oss                                ";"GM0828    "
"Ossendrecht";"WP1002    ";"Woensdrecht                        ";"GM0873    "
"Ossenisse";"WP3102    ";"Hulst                              ";"GM0677    "
"Ossenwaard";"WP2842    ";"Vianen                             ";"GM0620    "
"Ossenzijl";"WP2709    ";"Steenwijkerland                    ";"GM1708    "
"Oterleek";"WP1888    ";"Alkmaar                            ";"GM0361    "
"Otterlo";"WP2767    ";"Ede                                ";"GM0228    "
"Ottersum";"WP2480    ";"Gennep                             ";"GM0907    "
"Ottoland";"WP3628    ";"Molenwaard                         ";"GM1927    "
"Oud Ade";"WP3540    ";"Kaag en Braassem                   ";"GM1884    "
"Oud Annerveen";"WP1175    ";"Aa en Hunze                        ";"GM1680    "
"Oud Gastel";"WP1248    ";"Halderberge                        ";"GM1655    "
"Oud Ootmarsum";"WP1413    ";"Dinkelland                         ";"GM1774    "
"Oud Zuilen";"WP2066    ";"Stichtse Vecht                     ";"GM1904    "
"Oud-Alblas";"WP1985    ";"Molenwaard                         ";"GM1927    "
"Oud-Beijerland";"WP2793    ";"Oud-Beijerland                     ";"GM0584    "
"Ouddorp";"WP2932    ";"Goeree-Overflakkee                 ";"GM1924    "
"Oude Meer";"WP1599    ";"Haarlemmermeer                     ";"GM0394    "
"Oude Niedorp";"WP2519    ";"Hollands Kroon                     ";"GM1911    "
"Oude Pekela";"WP1397    ";"Pekela                             ";"GM0765    "
"Oude Wetering";"WP3039    ";"Kaag en Braassem                   ";"GM1884    "
"Oude Willem";"WP3117    ";"Westerveld                         ";"GM1701    "
"Oudebildtzijl";"WP3328    ";"Waadhoeke                          ";"GM1949    "
"Oudega";"WP3286    ";"Smallingerland                     ";"GM0090    "
"Oudega";"WP1680    ";"De Fryske Marren                   ";"GM1940    "
"Oudega";"WP2417    ";"Súdwest-Fryslân                    ";"GM1900    "
"Oudehaske";"WP3522    ";"De Fryske Marren                   ";"GM1940    "
"Oudehorne";"WP2195    ";"Heerenveen                         ";"GM0074    "
"Oudelande";"WP1261    ";"Borsele                            ";"GM0654    "
"Oudemirdum";"WP1681    ";"De Fryske Marren                   ";"GM1940    "
"Oudemolen";"WP1320    ";"Moerdijk                           ";"GM1709    "
"Oudemolen";"WP2917    ";"Tynaarlo                           ";"GM1730    "
"Oudenbosch";"WP1246    ";"Halderberge                        ";"GM1655    "
"Oudendijk";"WP1188    ";"Koggenland                         ";"GM1598    "
"Oudenhoorn";"WP1388    ";"Hellevoetsluis                     ";"GM0530    "
"Ouderkerk aan de Amstel";"WP2129    ";"Ouder-Amstel                       ";"GM0437    "
"Ouderkerk aan den IJssel";"WP2373    ";"Krimpenerwaard                     ";"GM1931    "
"Oudeschans";"WP2233    ";"Westerwolde                        ";"GM1950    "
"Oudeschild";"WP2743    ";"Texel                              ";"GM0448    "
"Oudeschip";"WP3478    ";"Eemsmond                           ";"GM1651    "
"Oudeschoot";"WP2188    ";"Heerenveen                         ";"GM0074    "
"Oudesluis";"WP2763    ";"Schagen                            ";"GM0441    "
"Oude-Tonge";"WP2134    ";"Goeree-Overflakkee                 ";"GM1924    "
"Oudewater";"WP1910    ";"Oudewater                          ";"GM0589    "
"Oudezijl";"WP1423    ";"Oldambt                            ";"GM1895    "
"Oudheusden";"WP3519    ";"Heusden                            ";"GM0797    "
"Oudkarspel";"WP3290    ";"Schagen                            ";"GM0441    "
"Oudkarspel";"WP1119    ";"Langedijk                          ";"GM0416    "
"Oudorp";"WP2350    ";"Alkmaar                            ";"GM0361    "
"Oud-Vossemeer";"WP2077    ";"Tholen                             ";"GM0716    "
"Oudwoude";"WP3313    ";"Kollumerland en Nieuwkruisland     ";"GM0079    "
"Ouwerkerk";"WP2684    ";"Schouwen-Duiveland                 ";"GM1676    "
"Ouwsterhaule";"WP2500    ";"De Fryske Marren                   ";"GM1940    "
"Ouwster-Nijega";"WP2501    ";"De Fryske Marren                   ";"GM1940    "
"Overasselt";"WP3496    ";"Heumen                             ";"GM0252    "
"Overberg";"WP3588    ";"Utrechtse Heuvelrug                ";"GM1581    "
"Overdinkel";"WP1715    ";"Losser                             ";"GM0168    "
"Overlangel";"WP3263    ";"Oss                                ";"GM0828    "
"Overloon";"WP1220    ";"Boxmeer                            ";"GM0756    "
"Overschild";"WP1354    ";"Midden-Groningen                   ";"GM1952    "
"Overslag";"WP1132    ";"Terneuzen                          ";"GM0715    "
"Overveen";"WP2653    ";"Bloemendaal                        ";"GM0377    "
"Ovezande";"WP1262    ";"Borsele                            ";"GM0654    "
"Paasloo";"WP2710    ";"Steenwijkerland                    ";"GM1708    "
"Paesens";"WP3409    ";"Dongeradeel                        ";"GM0058    "
"Pannerden";"WP2979    ";"Zevenaar                           ";"GM0299    "
